STATE,CITY,AREA,CRAWL DATE, HOTEL RATING,SPECIAL ADDED VALUE,HOTELS LOCATION RATING,EXCELLENT EXPERIENCE REPORTED BY VISITORS,AVERAGE EXPERIENCE REPORTED BY VISITOR,POOR EXPERIENCE REPORTED BY VISITORS,TERRIBLE EXPERIENCE REPROTED BY VISITOR,PROPERTY TYPE,QUERY DATE,QUERY TIME,RATING BASED ON VALUE FOR MONEY,RATING BASED ON FOOD,APPROVAL RATING
Maharashtra,Mumbai,Andheri (East),11-07-2016,1,no,2.9,3,6,5,7,Hotel,11-07-2016,11.10.58 AM,3,2.1,48.125
Karnataka,Bangalore,Majestic,11-07-2016,2,yes,4.3,72,85,21,7,Hotel,11-07-2016,11.10.58 AM,4,2.7,64.375
Karnataka,Bangalore,City Center,11-07-2016,4,no,4.6,139,34,12,6,Hotel,11-07-2016,11.10.58 AM,4.4,3.8,71.75
Maharashtra,Mumbai,Andheri (East),11-07-2016,3,no,4.5,4,1,3,0,Hotel,11-07-2016,11.10.58 AM,3.5,2.9,58.625
Maharashtra,Mumbai,Andheri West,11-07-2016,3,no,4.3,19,27,25,8,Hotel,11-07-2016,11.10.58 AM,3.3,3.1,58.375
Karnataka,Bangalore,Bangalore Airport Road,11-07-2016,3,no,4.1,10,1,0,2,Hotel,11-07-2016,11.10.58 AM,4.3,1.2,64
Maharashtra,Mumbai,Andheri (East),11-07-2016,5,no,4.7,24,7,0,0,Hotel,11-07-2016,11.10.58 AM,4.7,4.1,75.625
Maharashtra,Mumbai,Dadar,11-07-2016,1,no,4,0,1,0,0,Hotel,11-07-2016,11.10.58 AM,4,0,40
Karnataka,Bangalore,Bangalore Airport Road,11-07-2016,4,no,4.6,64,10,6,3,Hotel,11-07-2016,11.10.58 AM,4.2,2.6,68.25
Maharashtra,Mumbai,Mumbai Domestic Airport,11-07-2016,2,no,4.2,11,3,3,4,Hotel,11-07-2016,11.10.58 AM,4,2.6,61.75
Karnataka,Bangalore,Bangalore Airport Road,11-07-2016,3,no,4.6,8,1,1,1,Hotel,11-07-2016,11.10.58 AM,4.1,2.5,69.125
Karnataka,Bangalore,Bangalore Airport Road,11-07-2016,1,no,4.5,11,4,1,1,Hotel,11-07-2016,11.10.58 AM,4.1,3,65.75
Maharashtra,Mumbai,Malad,11-07-2016,1,no,4.2,15,2,1,1,Hotel,11-07-2016,11.30.35 PM,4.3,3.4,68.25
Andhra Pradesh,Vishakhapatnam,Dr. BR Ambedkar Statue,11-07-2016,3,no,4.1,3,6,4,0,Hotel,11-07-2016,11.30.35 PM,3.4,2.8,56
Uttar Pradesh,Agra,Shaheed Nagar,11-07-2016,3,yes,3.6,7,7,11,7,Hotel,11-07-2016,11.30.35 PM,3.2,2.4,51.5
Kerala,Kumarakom,Kumarakom North,11-07-2016,3,no,4.2,9,7,7,6,Hotel,11-07-2016,11.30.35 PM,3.5,2.7,58.875
Uttarakhand,Mussoorie,Gandhi Chowk,11-07-2016,5,no,5,24,1,0,0,Hotel,11-07-2016,11.30.35 PM,4.8,3.1,76.375
Rajasthan,Bharatpur,Kakaji Ki Kothi,11-07-2016,1,no,4,1,0,0,0,Hotel,11-07-2016,11.30.35 PM,5,5,76.25
Maharashtra,Mumbai,Andheri (East),25-07-2016,1,no,3.4,1,7,2,1,Hotel,25-07-2016,9.22.15 AM,3.8,1.3,56.625
Bangalore,Bangalore,Majestic,25-07-2016,2,yes,4.2,31,20,5,5,Hotel,25-07-2016,9.22.15 AM,4.1,2.4,64.5
Karnataka,Bangalore,Central Bangalore,25-07-2016,3,no,5,4,2,0,0,Hotel,25-07-2016,9.22.15 AM,4.3,2.9,72.125
Maharashtra,Mumbai,Mumbai Domestic Airport,25-07-2016,3,no,4.7,15,11,1,2,Hotel,25-07-2016,9.22.15 AM,4.2,2.2,63.75
Maharastra,Mumbai,South Mumbai,25-07-2016,1,no,3.9,18,33,34,14,Hotel,25-07-2016,9.22.15 AM,3.2,2.4,53
Karnataka,Bangalore,Koramangala,25-07-2016,3,no,4.7,9,3,4,1,Hotel,25-07-2016,9.22.15 AM,3.8,2.6,64.75
Karnataka,Bangalore,Marathahalli,25-07-2016,2,no,4.1,4,14,10,4,Hotel,25-07-2016,9.22.15 AM,3.1,1.7,51.125
Karnataka,Bangalore,Marathahalli,25-07-2016,3,no,3.9,11,12,2,3,Hotel,25-07-2016,9.22.15 AM,3.9,3.4,63.75
Maharashtra,Mumbai,Panvel,25-07-2016,3,no,4.9,14,7,0,0,Hotel,25-07-2016,9.22.15 AM,4.4,3.6,71
Karnataka,Bangalore,M G Road,25-07-2016,5,no,4.9,12,1,0,0,Hotel,25-07-2016,9.22.15 AM,4.9,4,76.5
Karnataka,Bangalore,Koramangala,25-07-2016,3,yes,4.1,7,8,6,1,Hotel,25-07-2016,9.22.15 AM,3.7,2.8,59
Maharashtra,Mumbai,Andheri (East),25-07-2016,1,no,2.9,3,6,5,7,Hotel,25-07-2016,9.22.15 AM,3,2.1,48.125
Karnataka,Bangalore,Rajaji Nagar,25-07-2016,3,no,4.1,19,14,13,4,Hotel,25-07-2016,9.22.15 AM,3.8,2.9,62.125
Karnataka,Bangalore,Richmond,25-07-2016,4,no,4.9,18,3,1,0,Hotel,25-07-2016,9.22.15 AM,4.3,2.7,71.375
Maharashtra,Mumbai,Mumbai Domestic Airport,25-07-2016,3,no,4.5,30,18,5,0,Hotel,25-07-2016,9.22.15 AM,4.2,3.7,69.625
Maharashtra,Mumbai,Thane,25-07-2016,1,no,4.4,7,2,3,1,Hotel,25-07-2016,9.22.15 AM,3.9,2.4,60.5
Karnataka,Bangalore,Bellary Road,25-07-2016,3,no,4.1,3,5,0,0,Hotel,25-07-2016,9.22.15 AM,3.8,3.6,63.5
Karnataka,Bangalore,Koramangala,25-07-2016,4,no,4.2,89,11,4,0,Hotel,25-07-2016,9.22.15 AM,4.6,3.9,72.375
Maharashtra,Mumbai,Navi Mumbai,25-07-2016,1,no,4.7,3,3,0,0,Hotel,25-07-2016,9.22.15 AM,4.1,2.3,65.375
Karnataka,Bangalore,M G Road,25-07-2016,5,no,4.9,19,1,0,0,Hotel,25-07-2016,9.22.15 AM,4.7,4.2,76.75
Maharastra,Mumbai,South Mumbai,25-07-2016,2,no,4.3,26,41,27,12,Hotel,25-07-2016,9.22.15 AM,3.4,3,57.25
Maharashtra,Mumbai,Thane,25-07-2016,3,no,4.5,3,3,1,0,Hotel,25-07-2016,9.22.15 AM,3.8,3.2,66
Karnataka,Bangalore,Electronic City,25-07-2016,3,no,4.4,11,5,4,1,Hotel,25-07-2016,9.22.15 AM,3.8,3.4,66.75
Maharashtra,Mumbai,Khar,25-07-2016,4,no,5,3,0,0,0,Hotel,25-07-2016,9.22.15 AM,5,3.2,73
Karnataka,Bangalore,Whitefield,25-07-2016,3,no,4.3,42,40,21,3,Hotel,25-07-2016,9.22.15 AM,4.1,3.6,66
Karnataka,Bangalore,Whitefield,25-07-2016,4,no,4,32,10,4,3,Hotel,25-07-2016,9.22.15 AM,4.1,4.1,67.125
Karnataka,Bangalore,Rajaji Nagar,25-07-2016,3,no,4.2,5,4,2,0,Hotel,25-07-2016,9.22.15 AM,3.8,2.9,62.625
Maharashtra,Mumbai,Andheri (East),25-07-2016,1,no,2,0,0,0,2,Hotel,25-07-2016,9.22.15 AM,1,1,26.25
Maharashtra,Mumbai,Mumbai Domestic Airport,25-07-2016,3,no,3.7,7,18,13,5,Hotel,25-07-2016,9.22.15 AM,3.3,2.5,56.125
Karnataka,Bangalore,Indira Nagar,25-07-2016,1,no,4.6,9,0,1,0,Hotel,25-07-2016,9.22.15 AM,4.6,2.8,68.5
Maharashtra,Mumbai,Navi Mumbai,25-07-2016,1,no,4.2,4,0,0,1,Hotel,25-07-2016,9.22.15 AM,4,3,61.75
Karnataka,Bangalore,High Grounds,25-07-2016,4,no,4.3,23,20,20,7,Hotel,25-07-2016,9.22.15 AM,3.6,3.2,62
Maharashtra,Mumbai,South Mumbai,25-07-2016,1,no,3.5,4,11,9,1,Hotel,25-07-2016,9.22.15 AM,3.3,2.5,54.625
Karnataka,Bangalore,JP Nagar,25-07-2016,2,no,3.4,0,3,3,1,Hotel,25-07-2016,9.22.15 AM,2.7,1.3,43.625
Maharashtra,Mumbai,Navi Mumbai,25-07-2016,1,no,3.7,3,2,1,2,Hotel,25-07-2016,9.22.15 AM,3.9,1.2,52.5
Karnataka,Bangalore,Old Madras Road,25-07-2016,3,no,4.1,4,6,0,0,Hotel,25-07-2016,9.22.15 AM,4,3.3,67.625
Maharashtra,Mumbai,Andheri (East),25-07-2016,1,no,1.8,0,0,0,5,Hotel,25-07-2016,9.22.15 AM,1.4,1.4,26.75
Karnataka,Bangalore,Maruthi Nagar,25-07-2016,1,no,4.4,8,3,5,1,Hotel,25-07-2016,9.22.15 AM,3.9,1.6,60
Maharashtra,Mumbai,South Mumbai,25-07-2016,1,no,4.7,1,0,2,0,Hotel,25-07-2016,9.22.15 AM,2.7,1.3,55.125
Maharastra,Mumbai,Andheri (East),25-07-2016,5,no,4.7,14,2,0,0,Hotel,25-07-2016,9.22.15 AM,4.8,3.7,76.125
Karnataka,Bangalore,Koramangala,25-07-2016,3,no,4.6,8,7,1,1,Hotel,25-07-2016,9.22.15 AM,3.5,2.4,63
Karnataka,Bangalore,Bangalore Airport Road,25-07-2016,3,no,4.3,36,4,4,1,Hotel,25-07-2016,9.22.15 AM,4.4,2.3,66.375
Maharastra,Mumbai,South Mumbai,25-07-2016,3,no,4,2,12,8,3,Hotel,25-07-2016,9.22.15 AM,3.1,3,54.75
Maharashtra,Mumbai,Andheri (East),25-07-2016,5,no,4.5,172,43,16,3,Hotel,25-07-2016,9.22.15 AM,4.3,4,71.5
Maharashtra,Mumbai,Navi Mumbai,25-07-2016,4,no,4.1,15,5,0,1,Hotel,25-07-2016,9.22.15 AM,4.5,2.7,66.375
Karnataka,Bangalore,Majestic,25-07-2016,2,yes,4.8,74,6,1,0,Hotel,25-07-2016,9.22.15 AM,4.8,2.8,73
Karnataka,Bangalore,JP Nagar,25-07-2016,2,yes,4.5,46,37,10,2,Hotel,25-07-2016,9.22.15 AM,4.1,3.1,67.375
Karnataka,Bangalore,Marathahalli,25-07-2016,2,no,4.6,17,5,0,0,Hotel,25-07-2016,9.22.15 AM,4.3,1.7,67.125
Maharashtra,Mumbai,Bandra Kurla Complex,25-07-2016,1,no,1.9,3,20,13,10,Hotel,25-07-2016,9.22.15 AM,3.1,1.8,42.25
Maharashtra,Mumbai,Navi Mumbai,25-07-2016,3,no,5,1,0,0,0,Hotel,25-07-2016,9.22.15 AM,4,5,76.25
Maharashtra,Mumbai,Andheri (East),25-07-2016,1,no,2.7,2,3,5,2,Hotel,25-07-2016,9.22.15 AM,3.1,2.5,47.125
Karnataka,Bangalore,Majestic,25-07-2016,2,yes,4.3,34,23,10,2,Hotel,25-07-2016,9.22.15 AM,4,3,66.75
Maharashtra,Mumbai,Chembur,25-07-2016,2,no,5,0,0,0,0,Hotel,25-07-2016,9.22.15 AM,5,0,50
Maharastra,Mumbai,South Mumbai,25-07-2016,2,no,4.1,3,5,2,2,Hotel,25-07-2016,9.22.15 AM,3.8,3.1,58.875
Karnataka,Bangalore,Central Bangalore,25-07-2016,4,no,4.7,52,3,0,0,Hotel,25-07-2016,9.22.15 AM,4.7,4.2,75.25
Maharastra,Mumbai,Juhu Beach,25-07-2016,5,no,4.8,4,0,0,0,Hotel,25-07-2016,9.22.15 AM,4.2,2,60.5
Maharastra,Mumbai,Mumbai Domestic Airport,25-07-2016,3,no,4.5,63,51,10,11,Hotel,25-07-2016,9.22.15 AM,3.9,3.5,66.875
Karnataka,Bangalore,M G Road,25-07-2016,3,no,4.6,11,5,0,0,Hotel,25-07-2016,9.22.15 AM,4.4,3.4,73.25
Maharashtra,Mumbai,South Mumbai,25-07-2016,3,no,4.7,5,16,6,1,Hotel,25-07-2016,9.22.15 AM,3.5,2.4,61
Maharashtra,Mumbai,Andheri (East),25-07-2016,5,no,3.4,71,56,33,5,Hotel,25-07-2016,9.22.15 AM,3.9,3.7,62.125
Karnataka,Bangalore,M G Road,25-07-2016,3,no,4.7,27,3,3,1,Hotel,25-07-2016,9.22.15 AM,4.5,1.6,69.5
Karnataka,Bangalore,Seshadripuram,25-07-2016,3,no,4.6,2,0,1,0,Hotel,25-07-2016,9.22.15 AM,4.1,2.9,66.625
Karnataka,Bangalore,Koramangala,25-07-2016,5,no,4.2,7,3,1,0,Hotel,25-07-2016,9.22.15 AM,4.1,3.3,66.125
Delhi,New Delhi And NCR,Karol Bagh,19-07-2016,3,no,4.4,1,3,1,0,Hotel,19-07-2016,12.47.31 AM,3.4,3.2,62
Punjab,Amritsar,Golden Temple,19-07-2016,1,no,3,0,1,0,0,Hotel,19-07-2016,12.47.31 AM,5,0,55
Punjab,Amritsar,Golden Temple,19-07-2016,3,yes,4.5,10,0,1,2,Hotel,19-07-2016,12.47.31 AM,4.2,2.7,68.375
New Delhi,New Delhi And NCR,Karol Bagh,19-07-2016,3,no,4.3,3,4,2,1,Hotel,19-07-2016,12.47.31 AM,3.5,2.2,58.25
Gujarat,Sasan Gir,District Junagadh,19-07-2016,2,no,4.5,6,16,9,5,Hotel,19-07-2016,12.47.31 AM,3.4,3.2,58.5
New Delhi,New Delhi And NCR,Karol Bagh,19-07-2016,3,no,4,2,0,0,0,Hotel,19-07-2016,12.47.31 AM,5,2.5,60.625
Uttar Pradesh,Agra,Fatehabad Road,19-07-2016,1,no,3.4,6,5,4,3,Hotel,19-07-2016,12.47.31 AM,3.6,2.3,55.875
New Delhi,New Delhi And NCR,Karol Bagh,19-07-2016,3,no,4.1,6,4,2,0,Hotel,19-07-2016,12.47.31 AM,4.4,2.5,67.125
Punjab,Amritsar,Verka-Majitha By Pass,19-07-2016,3,no,3.4,4,2,1,0,Hotel,19-07-2016,12.47.31 AM,4.2,5,66.75
Punjab,Amritsar,Amritsar Bus Stand,19-07-2016,1,no,5,0,1,1,0,Hotel,19-07-2016,12.47.31 AM,3,1,53.75
Delhi,New Delhi And NCR,Karol Bagh,19-07-2016,3,no,4.7,95,3,4,6,Hotel,19-07-2016,12.47.31 AM,4.6,2.2,68.75
Gujarat,Vadodara,VIP Road,19-07-2016,3,no,4.4,2,1,2,0,Hotel,19-07-2016,12.47.31 AM,4.3,2.7,64.875
Karnataka,Bangalore,Seshadripuram,19-07-2016,3,yes,4.3,31,15,2,2,Hotel,19-07-2016,12.47.31 AM,4.3,2.5,67.125
Maharashtra,Shirdi,Pimpalwadi Road,19-07-2016,3,yes,4.6,26,12,6,2,Hotel,19-07-2016,12.47.31 AM,4,2.3,63.875
Maharashtra,Mumbai,South Mumbai,19-07-2016,3,no,4.7,5,16,6,1,Hotel,19-07-2016,12.47.31 AM,3.5,2.4,61
Gujarat,Sasan Gir,Bhalchhel,19-07-2016,3,no,5,3,0,0,0,Hotel,19-07-2016,12.47.31 AM,5,5,81.25
Madhya Pradesh,Bhopal,Maharana Pratap Nagar,19-07-2016,3,yes,4.9,5,1,1,0,Hotel,19-07-2016,12.47.31 AM,4.4,2.6,64.75
Punjab,Amritsar,Mall Road,19-07-2016,3,no,4.4,8,2,4,0,Hotel,19-07-2016,12.47.31 AM,3.9,3.4,61.75
kerala,Cochin,Angamaly South,19-07-2016,3,no,4,0,0,0,0,Hotel,19-07-2016,12.47.31 AM,3.5,0,62.5
Delhi,New Delhi And NCR,New Delhi,19-07-2016,2,no,4.4,7,0,2,0,Hotel,19-07-2016,12.47.31 AM,4.4,4,70
Gujarat,Ahmedabad,Paldi,19-07-2016,2,yes,4.6,16,7,4,1,Hotel,19-07-2016,12.47.31 AM,3.9,1.7,63.125
Tamil Nadu,Kumbakonam,Sarangapani,19-07-2016,1,no,4.6,7,2,3,0,Hotel,19-07-2016,12.47.31 AM,4.1,2.8,68
kerala,Wayanad,Vythiri,19-07-2016,4,no,4.6,6,3,0,0,Hotel,19-07-2016,12.47.31 AM,4.7,2.2,68.25
Maharashtra,Shirdi,Pimpalwadi Road,19-07-2016,2,no,4.8,13,5,2,0,Hotel,19-07-2016,12.47.31 AM,4.3,2.7,71.375
Rajasthan,Udaipur,City Center,25-07-2016,3,no,4.6,12,2,1,0,Hotel,25-07-2016,8.37.50 PM,4.6,4.2,75.25
Rajasthn,Udaipur,Udaipur Railway Station,25-07-2016,1,no,4.9,21,0,0,0,Hotel,25-07-2016,8.37.50 PM,5,2.6,77.25
Andhra Pradesh,Vishakhapatnam,Dabagardens,25-07-2016,3,no,4.8,55,9,6,0,Hotel,25-07-2016,8.37.50 PM,4.5,3.2,72.5
Maharashtra,Pune,Station Road,25-07-2016,2,no,4.5,8,3,1,1,Hotel,25-07-2016,8.37.50 PM,4.3,0.9,64.625
Himachal Pradesh,Kasauli,Jai NIwas,25-07-2016,3,no,4.8,58,8,5,0,Hotel,25-07-2016,8.37.50 PM,4.5,2.4,72
Himachal Pradesh,Manali,Club House Road,25-07-2016,3,yes,4.4,28,26,11,7,Hotel,25-07-2016,8.37.50 PM,4.1,2.8,64
Andhra Pradesh,Hyderabad,Begumpet,25-07-2016,3,no,4.3,13,9,3,1,Hotel,25-07-2016,8.37.50 PM,4.1,3.7,67.625
Kerela,Varkala,Papanasam Beach Road,25-07-2016,3,no,4.9,4,3,0,0,Hotel,25-07-2016,8.37.50 PM,4.1,2.1,68.625
Maharashtra,Shirdi,Rui Shiv Road,25-07-2016,3,no,4.5,15,4,3,0,Hotel,25-07-2016,8.37.50 PM,4.2,3.3,70.125
Maharashtra,Aurangabad,Bansilal Nagar,25-07-2016,2,no,4.8,4,3,0,0,Hotel,25-07-2016,8.37.50 PM,3.9,1.5,64.875
Kerala,Wayanad,Kalpatta,25-07-2016,3,no,4,1,0,1,0,Hotel,25-07-2016,8.37.50 PM,4,3.5,61.875
Tamil Nadu,Yercaud,Ondikadai Post,25-07-2016,2,no,4.3,12,8,4,1,Hotel,25-07-2016,8.37.50 PM,4.2,2.5,65.125
Maharashtra,Pune,Viman Nagar,25-07-2016,4,no,4.7,197,69,52,18,Hotel,25-07-2016,8.37.50 PM,3.9,2.7,66.375
Andhra Pradesh,Vijaywada,M.G. Road,25-07-2016,3,no,4.6,14,8,3,1,Hotel,25-07-2016,8.37.50 PM,4.1,3.3,68.125
Himachal Pradesh,Dalhousie,Bus Stand,25-07-2016,3,no,4.5,14,5,2,0,Hotel,25-07-2016,8.37.50 PM,4.3,2.1,68.125
Maharashtra,Aurangabad,Ram Nagar,25-07-2016,2,no,4.3,2,1,0,0,Hotel,25-07-2016,8.37.50 PM,4.7,4.3,71.875
Andhra Pradesh,Rajahmundry,Godavari Bund Road,25-07-2016,3,no,4.6,24,10,6,3,Hotel,25-07-2016,8.37.50 PM,3.8,3.1,66.875
Andhra Pradesh,Tirupati,Tirupati Railway Station,25-07-2016,1,no,4.3,15,21,18,10,Hotel,25-07-2016,8.37.50 PM,3.2,2.6,56.75
Maharashtra,Aurangabad,Aurangabad,25-07-2016,1,no,4.3,8,7,3,2,Hotel,25-07-2016,8.37.50 PM,3.8,1.7,65.125
Uttarakhand,Mussoorie,Mussoorie Bus Stand,25-07-2016,1,no,5,0,0,0,0,Hotel,25-07-2016,8.37.50 PM,5,2,77.5
Himachal Pradesh,Kasauli,Kuthar,25-07-2016,3,no,2.6,1,0,1,3,Hotel,25-07-2016,8.37.50 PM,3.2,2.6,44.25
Himachal Pradesh,Shimla,Ghowra Chowk,25-07-2016,3,no,3.8,2,2,0,1,Hotel,25-07-2016,8.37.50 PM,4.3,3.3,64.625
Andhra Pradesh,Vishakhapatnam,Visakhapatnam Railway Station,25-07-2016,2,yes,4.1,6,4,2,0,Hotel,25-07-2016,8.37.50 PM,3.9,2.8,66
kerala,Wayanad,Manandavadi,25-07-2016,1,no,4.2,5,2,2,0,Hotel,25-07-2016,8.37.50 PM,4.1,3.5,67.875
Chattisgarh,Raipur,M G Road,19-07-2016,1,no,4.4,15,4,6,0,Hotel,19-07-2016,5.53.34 AM,4.1,2.3,63.875
West Bengal,Digha,Midnapore,19-07-2016,3,no,3.6,24,16,12,6,Hotel,19-07-2016,5.53.34 AM,3.7,2.9,58.625
New Delhi,New Delhi And NCR,Ghaziabad,19-07-2016,4,no,4.2,7,4,0,0,Hotel,19-07-2016,5.53.34 AM,4.3,3.5,69.375
Tamilnadu,Chennai,T.Nagar,18-07-2016,1,no,5,2,0,0,0,Hotel,18-07-2016,10.17.02 PM,5,5,81.25
Andhara Pradesh,Hyderabad,Somajiguda,18-07-2016,3,no,4.2,73,148,129,49,Hotel,18-07-2016,10.17.02 PM,2.9,3.1,56.375
Rajasthan,Jodhpur,Bhadu Market,18-07-2016,3,no,4,15,3,2,0,Hotel,18-07-2016,10.17.02 PM,4.5,4.3,71.375
Tamilnadu,Chennai,City Center,18-07-2016,3,no,4.7,60,38,25,5,Hotel,18-07-2016,10.17.02 PM,3.9,2.3,64.875
Andhra Pardesh,Hyderabad,Kachiguda,18-07-2016,1,no,4.1,6,6,4,2,Hotel,18-07-2016,10.17.02 PM,3.4,1.6,54.5
Rajasthan,Jaipur,Gopalbari,18-07-2016,3,no,4.5,5,2,1,1,Hotel,18-07-2016,10.17.02 PM,3.9,3.4,65.25
Jaipur,Jaipur,Amer Road,18-07-2016,1,no,4.5,0,1,0,0,Hotel,18-07-2016,10.17.02 PM,3.5,3.5,66.875
Telangana,Hyderabad,Banjara Hills,18-07-2016,4,no,4.6,144,40,12,2,Hotel,18-07-2016,10.17.02 PM,4.3,3.7,70.625
Tamil Nadu,Chennai,US Consulate Area,18-07-2016,5,no,4.7,190,11,7,2,Hotel,18-07-2016,10.17.02 PM,4.6,3.8,73.75
Andhra Pradesh,Hyderabad,Madhapur,18-07-2016,1,no,3.5,2,0,0,1,Hotel,18-07-2016,10.17.02 PM,4.2,4,63.5
Rajasthan,Jaipur,Gopal Bari,18-07-2016,1,no,4.4,4,0,1,0,Hotel,18-07-2016,10.17.02 PM,4.8,4.6,73.75
Uttar Pradesh,Meerut,Jawahar Quarters,18-07-2016,4,no,4.8,3,1,0,0,Hotel,18-07-2016,10.17.02 PM,4.8,2.2,74.75
Tamilnadu,Chennai,T Nagar,18-07-2016,3,no,4.6,59,9,9,4,Hotel,18-07-2016,10.17.02 PM,4.1,3.1,67.875
Andhra Pradesh,Hyderabad,Lakdi Ka Pul,18-07-2016,3,no,3.9,2,5,1,0,Hotel,18-07-2016,10.17.02 PM,3.7,4,62.5
Rajasthan,Jodhpur,Chopasni Village,18-07-2016,3,no,1.8,0,0,1,3,Hotel,18-07-2016,10.17.02 PM,2,1.8,31.25
Tamil Nadu,Chennai,OMR - Old Mahabalipuram Road,18-07-2016,3,no,3.5,57,45,26,12,Hotel,18-07-2016,10.17.02 PM,4,2.9,61.625
Uttar Pradesh,Meerut,Main Road,18-07-2016,4,no,5,8,0,0,0,Hotel,18-07-2016,10.17.02 PM,4.8,3.1,77.375
Uttar Pradesh,Meerut,Garh Road,18-07-2016,1,no,4.5,5,3,0,1,Hotel,18-07-2016,10.17.02 PM,4.1,0.4,61.5
Rajasthan,Jaipur,MI Road,27-06-2016,3,no,4.3,12,6,0,0,Hotel,27-06-2016,6.30.20 AM,4.3,3.6,67.5
Rajasthan,Jaipur,Raja Park,27-06-2016,1,no,2,0,0,0,1,Hotel,27-06-2016,6.30.20 AM,2,2,32.5
Rajasthan,Jaipur,Bani Park,27-06-2016,4,no,4.1,97,45,11,2,Hotel,27-06-2016,6.30.20 AM,4.2,3.6,66.5
Rajasthan,Jaipur,Goner Road,27-06-2016,5,no,4.5,3,0,0,0,Hotel,27-06-2016,6.30.20 AM,4.8,5,77.75
Rajasthan,Jaipur,Jaipur Railway Station,27-06-2016,4,no,4.7,37,13,5,0,Hotel,27-06-2016,6.30.20 AM,4.2,4,70.5
Rajasthan,Jaipur,Ajmer Road,27-06-2016,3,no,4.5,5,1,1,0,Hotel,27-06-2016,6.30.20 AM,4.2,3.3,63.625
Rajasthan,Jaipur,Ajmer Bypass Highway,27-06-2016,1,no,3.4,1,0,2,1,Hotel,27-06-2016,6.30.20 AM,3,4,53
Rajasthan,Jaipur,Arvind Marg,27-06-2016,3,no,4.6,72,24,17,4,Hotel,27-06-2016,6.30.20 AM,4,3.4,66.25
Rajasthan,Jaipur,MI Road,27-06-2016,5,no,4.7,275,32,16,2,Hotel,27-06-2016,6.30.20 AM,4.5,3.4,68.75
Rajasthan,Jaipur,Sindhi Camp,27-06-2016,1,no,3.6,2,2,4,4,Hotel,27-06-2016,6.30.20 AM,2.9,2.2,47.25
Rajasthan,Jaipur,Jaipur Airport,27-06-2016,4,no,4.4,36,12,6,0,Hotel,27-06-2016,6.30.20 AM,4.3,3.4,67.75
Rajasthan,Jaipur,JLN Marg,27-06-2016,5,no,3.5,0,0,1,0,Hotel,27-06-2016,6.30.20 AM,4,3.5,64.375
Rajasthan,Jaipur,Chomu Town,27-06-2016,5,no,3.1,10,2,2,2,Hotel,27-06-2016,6.30.20 AM,4.2,3.3,59.125
Rajasthan,Jaipur,North Jaipur,27-06-2016,1,yes,4.2,8,4,4,1,Hotel,27-06-2016,6.30.20 AM,3.8,3.7,62.625
Rajasthan,Jaipur,MI Road,27-06-2016,3,no,4.7,5,0,0,0,Hotel,27-06-2016,6.30.20 AM,4.9,4.5,77.125
Rajasthan,Jaipur,Raja Park,27-06-2016,3,no,3.7,4,5,8,1,Hotel,27-06-2016,6.30.20 AM,3.3,2.4,49.5
Rajasthan,Jaipur,Tonk Road,27-06-2016,4,no,3.9,5,0,3,1,Hotel,27-06-2016,6.30.20 AM,3.9,4.2,63.25
Rajasthan,Jaipur,Ajmer Road,27-06-2016,3,no,5,1,0,0,0,Hotel,27-06-2016,6.30.20 AM,5,0,50
Rajasthan,Jaipur,Bani Park,27-06-2016,4,no,3.8,4,5,1,0,Hotel,27-06-2016,6.30.20 AM,3.9,2.8,62
Rajasthan,Jaipur,Via Badi Chopar,27-06-2016,2,no,2.3,3,4,2,6,Hotel,27-06-2016,6.30.20 AM,2.9,3.1,42.875
Rajasthan,Jaipur,Vaishali Nagar,27-06-2016,2,no,3.2,1,3,0,0,Hotel,27-06-2016,6.30.20 AM,4,2.8,59.5
Rajasthan,Jaipur,MI Road,27-06-2016,1,no,3.5,0,2,0,1,Hotel,27-06-2016,6.30.20 AM,3.3,0,52.5
Rajasthan,Jaipur,Raja Park,27-06-2016,3,no,4,6,2,2,0,Hotel,27-06-2016,6.30.20 AM,4.2,4.5,67.625
Rajesthan,Jaipur,AMER,27-06-2016,3,no,3.1,2,2,1,4,Hotel,27-06-2016,6.30.20 AM,3.1,3.4,50.75
Rajasthan,Jaipur,JLN Marg,27-06-2016,3,no,4,30,16,7,5,Hotel,27-06-2016,6.30.20 AM,4,3.6,63.5
Rajasthan,Jaipur,Malviya Nagar,27-06-2016,1,no,2.4,1,0,1,4,Hotel,27-06-2016,6.30.20 AM,2.6,2,42
Rajasthan,Jaipur,JLN Marg,27-06-2016,3,no,4.6,11,2,0,1,Hotel,27-06-2016,6.30.20 AM,4.4,3,71.75
Rajasthan,Jaipur,Bani Park,27-06-2016,3,no,4.1,1,4,0,0,Hotel,27-06-2016,6.30.20 AM,3.8,2.7,65.875
Rajasthan,Jaipur,Sikar Road,27-06-2016,3,no,4.2,22,13,0,0,Hotel,27-06-2016,6.30.20 AM,4.3,3.6,66.5
Rajasthan,Jaipur,Jaipur Railway Station,27-06-2016,1,no,4.6,32,4,0,0,Hotel,27-06-2016,6.30.20 AM,4.7,4.2,75.25
Rajasthan,Jaipur,Agra - Jaipur Road,27-06-2016,5,no,4,6,1,5,0,Hotel,27-06-2016,6.30.20 AM,3.6,2.8,56
